247,K7,FALSE,3448,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.179,0.065,0.496,24.08,22.56,1.608,,-1.141,1.61,0.658,2.479,TRUE,0.243,TRUE,3,18,Amp,,0.866,N,N,Y
248,K8,FALSE,3448,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.179,0.065,0.496,24.04,22.56,1.608,,-1.141,1.61,0.658,2.479,TRUE,0.243,TRUE,3,18,Amp,,0.893,N,N,Y
249,K9,FALSE,3448,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.179,0.065,0.496,23.927,22.56,1.608,,-1.141,1.61,0.658,2.479,TRUE,0.243,TRUE,3,18,Amp,,0.877,N,N,Y
250,K10,FALSE,3450,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,3.393,1.378,8.356,27.878,26.538,1.389,,-5.383,1.409,0.584,-1.763,TRUE,0.243,TRUE,3,22,Amp,,0.895,N,N,Y
251,K11,FALSE,3450,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,3.393,1.378,8.356,27.863,26.538,1.389,,-5.383,1.409,0.584,-1.763,TRUE,0.243,TRUE,3,21,Amp,,0.897,N,N,Y
252,K12,FALSE,3450,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,3.393,1.378,8.356,27.669,26.538,1.389,,-5.383,1.409,0.584,-1.763,TRUE,0.243,TRUE,3,22,Amp,,0.906,N,N,Y
265,L1,FALSE,AIW001-2,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.421,0.971,2.079,31.792,31.547,0.313,,-2.955,0.37,0.214,-0.507,TRUE,0.208,TRUE,3,26,Amp,,0.822,N,N,N
266,L2,FALSE,AIW001-2,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.421,0.971,2.079,31.194,31.547,0.313,,-2.955,0.37,0.214,-0.507,TRUE,0.208,TRUE,3,25,Amp,,0.89,N,N,N
267,L3,FALSE,AIW001-2,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.421,0.971,2.079,31.656,31.547,0.313,,-2.955,0.37,0.214,-0.507,TRUE,0.208,TRUE,3,27,Amp,,0.891,N,N,N
268,L4,FALSE,AIW002-02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.709,0.574,0.877,30.011,29.903,0.105,,-1.953,0.224,0.129,0.495,TRUE,0.208,TRUE,3,23,Amp,,0.895,N,N,N
269,L5,FALSE,AIW002-02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.709,0.574,0.877,29.896,29.903,0.105,,-1.953,0.224,0.129,0.495,TRUE,0.208,TRUE,3,23,Amp,,0.915,N,N,N
270,L6,FALSE,AIW002-02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.709,0.574,0.877,29.801,29.903,0.105,,-1.953,0.224,0.129,0.495,TRUE,0.208,TRUE,3,23,Amp,,0.897,N,N,N
271,L7,FALSE,3448,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.135,0.125,0.146,24.171,24.144,0.028,,0.443,0.082,0.047,2.891,TRUE,0.208,TRUE,3,19,Amp,,0.93,N,N,N
272,L8,FALSE,3448,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.135,0.125,0.146,24.146,24.144,0.028,,0.443,0.082,0.047,2.891,TRUE,0.208,TRUE,3,18,Amp,,0.943,N,N,N
273,L9,FALSE,3448,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.135,0.125,0.146,24.115,24.144,0.028,,0.443,0.082,0.047,2.891,TRUE,0.208,TRUE,3,20,Amp,,0.937,N,N,N
274,L10,FALSE,3450,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.741,0.537,1.024,29.974,29.904,0.244,,-2.017,0.341,0.197,0.432,TRUE,0.208,TRUE,3,24,Amp,,0.96,N,N,N
275,L11,FALSE,3450,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.741,0.537,1.024,29.632,29.904,0.244,,-2.017,0.341,0.197,0.432,TRUE,0.208,TRUE,3,23,Amp,,0.971,N,N,N
276,L12,FALSE,3450,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.741,0.537,1.024,30.104,29.904,0.244,,-2.017,0.341,0.197,0.432,TRUE,0.208,TRUE,3,25,Amp,,0.928,N,N,N
289,M1,FALSE,AIW001-2,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,7.439,2.167,25.539,26.122,27.987,1.87,,-6.515,1.88,0.772,-2.895,TRUE,0.243,TRUE,3,22,Amp,,0.717,Y,N,Y
290,M2,FALSE,AIW001-2,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,7.439,2.167,25.539,26.178,27.987,1.87,,-6.515,1.88,0.772,-2.895,TRUE,0.243,TRUE,3,21,Amp,,0.729,Y,N,Y
291,M3,FALSE,AIW001-2,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,7.439,2.167,25.539,26.562,27.987,1.87,,-6.515,1.88,0.772,-2.895,TRUE,0.243,TRUE,3,20,Amp,,0.824,N,N,Y
292,M4,FALSE,AIW002-02,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,5.543,1.635,18.79,23.953,25.765,1.916,,-6.091,1.926,0.79,-2.471,TRUE,0.243,TRUE,3,19,Amp,,0.824,N,N,Y
293,M5,FALSE,AIW002-02,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,5.543,1.635,18.79,23.813,25.765,1.916,,-6.091,1.926,0.79,-2.471,TRUE,0.243,TRUE,3,18,Amp,,0.854,N,N,Y
294,M6,FALSE,AIW002-02,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,5.543,1.635,18.79,24.305,25.765,1.916,,-6.091,1.926,0.79,-2.471,TRUE,0.243,TRUE,3,19,Amp,,0.796,Y,N,Y
295,M7,FALSE,3448,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.179,0.065,0.496,21.023,22.56,1.608,,-1.141,1.61,0.658,2.479,TRUE,0.243,TRUE,3,16,Amp,,0.884,N,N,Y
296,M8,FALSE,3448,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.179,0.065,0.496,21.468,22.56,1.608,,-1.141,1.61,0.658,2.479,TRUE,0.243,TRUE,3,16,Amp,,0.798,Y,N,Y
297,M9,FALSE,3448,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.179,0.065,0.496,20.824,22.56,1.608,,-1.141,1.61,0.658,2.479,TRUE,0.243,TRUE,3,16,Amp,,0.9,N,N,Y
298,M10,FALSE,3450,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,3.393,1.378,8.356,25.257,26.538,1.389,,-5.383,1.409,0.584,-1.763,TRUE,0.243,TRUE,3,20,Amp,,0.899,N,N,Y
299,M11,FALSE,3450,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,3.393,1.378,8.356,25.244,26.538,1.389,,-5.383,1.409,0.584,-1.763,TRUE,0.243,TRUE,3,19,Amp,,0.783,Y,N,Y
300,M12,FALSE,3450,cot3/4,UNKNOWN,FAM,NFQ-MGB,,,,3.393,1.378,8.356,25.314,26.538,1.389,,-5.383,1.409,0.584,-1.763,TRUE,0.243,TRUE,3,20,Amp,,0.779,Y,N,Y
313,N1,FALSE,AIW001-2,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,Undetermined,37.624,,,,,,,TRUE,0.097,TRUE,3,35,No Amp,,0,Y,N,N
314,N2,FALSE,AIW001-2,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,37.624,37.624,,,,,,,TRUE,0.097,TRUE,3,33,Amp,,0.544,Y,N,N
315,N3,FALSE,AIW001-2,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,Undetermined,37.624,,,,,,,TRUE,0.097,TRUE,3,39,No Amp,,0,Y,Y,N
316,N4,FALSE,AIW002-02,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.054,33.955,0.126,,,,,,TRUE,0.097,TRUE,3,29,Amp,,0.819,N,N,N
317,N5,FALSE,AIW002-02,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,33.997,33.955,0.126,,,,,,TRUE,0.097,TRUE,3,29,Amp,,0.807,N,N,N
318,N6,FALSE,AIW002-02,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,33.814,33.955,0.126,,,,,,TRUE,0.097,TRUE,3,29,Amp,,0.86,N,N,N
319,N7,FALSE,3448,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.557,22.456,0.098,,,,,,TRUE,0.097,TRUE,3,18,Amp,,0.765,Y,N,N
320,N8,FALSE,3448,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.449,22.456,0.098,,,,,,TRUE,0.097,TRUE,3,18,Amp,,0.748,Y,N,N
321,N9,FALSE,3448,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.361,22.456,0.098,,,,,,TRUE,0.097,TRUE,3,18,Amp,,0.758,Y,N,N
322,N10,FALSE,3450,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.917,34.785,0.325,,,,,,TRUE,0.097,TRUE,3,30,Amp,,0.774,Y,N,N
323,N11,FALSE,3450,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.414,34.785,0.325,,,,,,TRUE,0.097,TRUE,3,30,Amp,,0.749,Y,N,N
324,N12,FALSE,3450,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,35.023,34.785,0.325,,,,,,TRUE,0.097,TRUE,3,30,Amp,,0.724,Y,N,N
337,O1,FALSE,AIW001-2,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.058,TRUE,3,39,No Amp,,0,Y,Y,N
338,O2,FALSE,AIW001-2,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.058,TRUE,3,39,No Amp,,0,Y,Y,N
339,O3,FALSE,AIW001-2,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.058,TRUE,3,39,No Amp,,0,Y,Y,N
340,O4,FALSE,AIW002-02,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.985,1.552,2.539,34.635,34.741,0.168,,2.885,0.26,0.15,-0.989,TRUE,0.058,TRUE,3,30,Amp,,0.685,Y,N,N
341,O5,FALSE,AIW002-02,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.985,1.552,2.539,34.935,34.741,0.168,,2.885,0.26,0.15,-0.989,TRUE,0.058,TRUE,3,31,Amp,,0.737,Y,N,N
342,O6,FALSE,AIW002-02,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.985,1.552,2.539,34.652,34.741,0.168,,2.885,0.26,0.15,-0.989,TRUE,0.058,TRUE,3,31,Amp,,0.778,Y,N,N
343,O7,FALSE,3448,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,18.474,16.644,20.505,23.327,23.368,0.079,,-0.333,0.11,0.064,-4.207,TRUE,0.058,TRUE,3,19,Amp,,0.74,Y,N,N
344,O8,FALSE,3448,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,18.474,16.644,20.505,23.459,23.368,0.079,,-0.333,0.11,0.064,-4.207,TRUE,0.058,TRUE,3,20,Amp,,0.765,Y,N,N
345,O9,FALSE,3448,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,18.474,16.644,20.505,23.318,23.368,0.079,,-0.333,0.11,0.064,-4.207,TRUE,0.058,TRUE,3,19,Amp,,0.736,Y,N,N
346,O10,FALSE,3450,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.968,1.555,2.492,34.893,34.818,0.072,,2.897,0.249,0.144,-0.977,TRUE,0.058,TRUE,3,31,Amp,,0.738,Y,N,N
347,O11,FALSE,3450,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.968,1.555,2.492,34.751,34.818,0.072,,2.897,0.249,0.144,-0.977,TRUE,0.058,TRUE,3,31,Amp,,0.83,N,N,N
348,O12,FALSE,3450,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.968,1.555,2.492,34.809,34.818,0.072,,2.897,0.249,0.144,-0.977,TRUE,0.058,TRUE,3,31,Amp,,0.725,Y,N,N
361,P1,FALSE,AIW001-2,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,31.444,31.38,0.197,,,,,,TRUE,0.102,TRUE,3,27,Amp,,0.833,N,N,N
362,P2,FALSE,AIW001-2,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,31.16,31.38,0.197,,,,,,TRUE,0.102,TRUE,3,26,Amp,,0.818,N,N,N
363,P3,FALSE,AIW001-2,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,31.537,31.38,0.197,,,,,,TRUE,0.102,TRUE,3,27,Amp,,0.867,N,N,N
364,P4,FALSE,AIW002-02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.022,29.756,0.25,,,,,,TRUE,0.102,TRUE,3,26,Amp,,0.849,N,N,N
365,P5,FALSE,AIW002-02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.723,29.756,0.25,,,,,,TRUE,0.102,TRUE,3,25,Amp,,0.928,N,N,N
366,P6,FALSE,AIW002-02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.524,29.756,0.25,,,,,,TRUE,0.102,TRUE,3,25,Amp,,0.857,N,N,N
367,P7,FALSE,3448,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.994,24.946,0.046,,,,,,TRUE,0.102,TRUE,3,20,Amp,,0.869,N,N,N
368,P8,FALSE,3448,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.943,24.946,0.046,,,,,,TRUE,0.102,TRUE,3,20,Amp,,0.937,N,N,N
369,P9,FALSE,3448,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.902,24.946,0.046,,,,,,TRUE,0.102,TRUE,3,20,Amp,,0.893,N,N,N
370,P10,FALSE,3450,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.064,29.056,0.091,,,,,,TRUE,0.102,TRUE,3,25,Amp,,0.876,N,N,N
371,P11,FALSE,3450,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.142,29.056,0.091,,,,,,TRUE,0.102,TRUE,3,25,Amp,,0.842,N,N,N
372,P12,FALSE,3450,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,28.961,29.056,0.091,,,,,,TRUE,0.102,TRUE,3,24,Amp,,0.857,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Singleplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,"ACTB, GAPDH2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,H9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
