262,K22,FALSE,FX8-1-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.143,21.430,0.262,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.837,N,N,N,N,N,N
263,K23,FALSE,FX8-1-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.655,21.430,0.262,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.841,N,N,N,N,N,N
264,K24,FALSE,FX8-1-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.491,21.430,0.262,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.863,N,N,N,N,N,N
265,L1,FALSE,FX8-1-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,2.199,1.714,2.821,27.499,27.708,0.184,,7.528,0.263,0.152,-1.137,TRUE,0.391,TRUE,3,21,Amp,,0.950,N,N,N,N,N,N
266,L2,FALSE,FX8-1-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,2.199,1.714,2.821,27.844,27.708,0.184,,7.528,0.263,0.152,-1.137,TRUE,0.391,TRUE,3,22,Amp,,0.963,N,N,N,N,N,N
267,L3,FALSE,FX8-1-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,2.199,1.714,2.821,27.781,27.708,0.184,,7.528,0.263,0.152,-1.137,TRUE,0.391,TRUE,3,22,Amp,,0.944,N,N,N,N,N,N
268,L4,FALSE,FX8-1-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.805,1.508,2.160,21.789,21.809,0.027,,1.630,0.190,0.110,-0.852,TRUE,0.408,TRUE,3,15,Amp,,0.955,N,N,N,N,N,N
269,L5,FALSE,FX8-1-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.805,1.508,2.160,21.840,21.809,0.027,,1.630,0.190,0.110,-0.852,TRUE,0.408,TRUE,3,16,Amp,,0.965,N,N,N,N,N,N
270,L6,FALSE,FX8-1-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.805,1.508,2.160,21.799,21.809,0.027,,1.630,0.190,0.110,-0.852,TRUE,0.408,TRUE,3,16,Amp,,0.961,N,N,N,N,N,N
271,L7,FALSE,FX8-1-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.745,0.620,0.894,20.439,20.484,0.044,,0.304,0.193,0.112,0.426,TRUE,0.429,TRUE,3,14,Amp,,0.936,N,N,N,N,N,N
272,L8,FALSE,FX8-1-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.745,0.620,0.894,20.528,20.484,0.044,,0.304,0.193,0.112,0.426,TRUE,0.429,TRUE,3,14,Amp,,0.942,N,N,N,N,Y,N
273,L9,FALSE,FX8-1-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.745,0.620,0.894,20.484,20.484,0.044,,0.304,0.193,0.112,0.426,TRUE,0.429,TRUE,3,15,Amp,,0.924,N,N,N,N,N,N
274,L10,FALSE,FX8-1-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.673,0.556,0.813,27.016,27.094,0.070,,6.915,0.201,0.116,0.572,TRUE,0.399,TRUE,3,21,Amp,,0.960,N,N,N,N,N,N
275,L11,FALSE,FX8-1-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.673,0.556,0.813,27.152,27.094,0.070,,6.915,0.201,0.116,0.572,TRUE,0.399,TRUE,3,21,Amp,,0.959,N,N,N,N,N,N
276,L12,FALSE,FX8-1-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.673,0.556,0.813,27.114,27.094,0.070,,6.915,0.201,0.116,0.572,TRUE,0.399,TRUE,3,21,Amp,,0.957,N,N,N,N,N,N
289,M1,FALSE,FX11-7-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.227,0.195,0.263,29.608,29.620,0.027,,8.640,0.156,0.090,2.142,TRUE,0.335,TRUE,3,24,Amp,,0.933,N,N,N,N,N,N
290,M2,FALSE,FX11-7-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.227,0.195,0.263,29.651,29.620,0.027,,8.640,0.156,0.090,2.142,TRUE,0.335,TRUE,3,24,Amp,,0.917,N,N,N,N,N,N
291,M3,FALSE,FX11-7-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.227,0.195,0.263,29.601,29.620,0.027,,8.640,0.156,0.090,2.142,TRUE,0.335,TRUE,3,23,Amp,,0.940,N,N,N,N,N,N
292,M4,FALSE,FX11-7-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,2.323,1.942,2.779,29.455,29.579,0.110,,8.599,0.189,0.109,-1.216,TRUE,0.398,TRUE,3,24,Amp,,0.938,N,N,N,N,N,N
293,M5,FALSE,FX11-7-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,2.323,1.942,2.779,29.618,29.579,0.110,,8.599,0.189,0.109,-1.216,TRUE,0.398,TRUE,3,23,Amp,,0.947,N,N,N,N,N,N
294,M6,FALSE,FX11-7-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,2.323,1.942,2.779,29.665,29.579,0.110,,8.599,0.189,0.109,-1.216,TRUE,0.398,TRUE,3,24,Amp,,0.946,N,N,N,N,N,N
295,M7,FALSE,FX11-7-D0,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.131,0.972,1.317,21.624,21.676,0.046,,0.696,0.160,0.093,-0.178,TRUE,0.379,TRUE,3,14,Amp,,0.957,N,N,N,N,N,N
296,M8,FALSE,FX11-7-D0,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.131,0.972,1.317,21.697,21.676,0.046,,0.696,0.160,0.093,-0.178,TRUE,0.379,TRUE,3,16,Amp,,0.957,N,N,N,N,N,N
297,M9,FALSE,FX11-7-D0,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.131,0.972,1.317,21.708,21.676,0.046,,0.696,0.160,0.093,-0.178,TRUE,0.379,TRUE,3,16,Amp,,0.960,N,N,N,N,N,N
298,M10,FALSE,FX11-7-D0,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,6.466,5.273,7.930,23.627,23.784,0.151,,2.804,0.216,0.124,-2.693,TRUE,0.178,TRUE,3,19,Amp,,0.952,N,N,N,N,N,N
299,M11,FALSE,FX11-7-D0,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,6.466,5.273,7.930,23.798,23.784,0.151,,2.804,0.216,0.124,-2.693,TRUE,0.178,TRUE,3,19,Amp,,0.951,N,N,N,N,N,N
300,M12,FALSE,FX11-7-D0,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,6.466,5.273,7.930,23.928,23.784,0.151,,2.804,0.216,0.124,-2.693,TRUE,0.178,TRUE,3,19,Amp,,0.923,N,N,N,N,N,N
301,M13,FALSE,FX11-7-D0,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,1.045,0.889,1.227,28.464,28.542,0.073,,7.562,0.170,0.098,-0.063,TRUE,0.436,TRUE,3,23,Amp,,0.968,N,N,N,N,N,N
302,M14,FALSE,FX11-7-D0,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,1.045,0.889,1.227,28.609,28.542,0.073,,7.562,0.170,0.098,-0.063,TRUE,0.436,TRUE,3,22,Amp,,0.954,N,N,N,N,N,N
303,M15,FALSE,FX11-7-D0,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,1.045,0.889,1.227,28.552,28.542,0.073,,7.562,0.170,0.098,-0.063,TRUE,0.436,TRUE,3,23,Amp,,0.967,N,N,N,N,N,N
304,M16,FALSE,FX11-7-D0,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.151,0.116,0.196,31.795,31.869,0.232,,10.889,0.279,0.161,2.732,TRUE,0.306,TRUE,3,26,Amp,,0.929,N,N,N,N,N,N
305,M17,FALSE,FX11-7-D0,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.151,0.116,0.196,32.130,31.869,0.232,,10.889,0.279,0.161,2.732,TRUE,0.306,TRUE,3,26,Amp,,0.921,N,N,N,N,N,N
306,M18,FALSE,FX11-7-D0,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.151,0.116,0.196,31.684,31.869,0.232,,10.889,0.279,0.161,2.732,TRUE,0.306,TRUE,3,26,Amp,,0.939,N,N,N,N,N,N
307,M19,FALSE,FX11-7-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.679,19.702,0.144,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.916,N,N,N,N,N,N
308,M20,FALSE,FX11-7-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.571,19.702,0.144,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.921,N,N,N,N,N,N
309,M21,FALSE,FX11-7-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.856,19.702,0.144,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.948,N,N,N,N,N,N
310,M22,FALSE,FX11-7-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.070,22.258,0.163,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.882,N,N,N,N,N,N
311,M23,FALSE,FX11-7-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.346,22.258,0.163,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.910,N,N,N,N,N,N
312,M24,FALSE,FX11-7-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.358,22.258,0.163,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.903,N,N,N,N,N,N
313,N1,FALSE,FX11-7-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,0.467,0.384,0.569,30.584,30.742,0.139,,9.762,0.207,0.120,1.097,TRUE,0.391,TRUE,3,25,Amp,,0.959,N,N,N,N,Y,N
314,N2,FALSE,FX11-7-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,0.467,0.384,0.569,30.839,30.742,0.139,,9.762,0.207,0.120,1.097,TRUE,0.391,TRUE,3,24,Amp,,0.947,N,N,N,N,N,N
315,N3,FALSE,FX11-7-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,0.467,0.384,0.569,30.804,30.742,0.139,,9.762,0.207,0.120,1.097,TRUE,0.391,TRUE,3,25,Amp,,0.968,N,N,N,N,N,N
316,N4,FALSE,FX11-7-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,0.732,0.625,0.857,23.963,23.911,0.064,,2.931,0.167,0.096,0.450,TRUE,0.408,TRUE,3,19,Amp,,0.962,N,N,N,N,N,N
317,N5,FALSE,FX11-7-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,0.732,0.625,0.857,23.930,23.911,0.064,,2.931,0.167,0.096,0.450,TRUE,0.408,TRUE,3,17,Amp,,0.974,N,N,N,N,Y,N
318,N6,FALSE,FX11-7-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,0.732,0.625,0.857,23.840,23.911,0.064,,2.931,0.167,0.096,0.450,TRUE,0.408,TRUE,3,18,Amp,,0.988,N,N,N,N,N,Y
319,N7,FALSE,FX11-7-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.433,0.358,0.524,21.948,22.066,0.129,,1.086,0.201,0.116,1.207,TRUE,0.429,TRUE,3,16,Amp,,0.940,N,N,N,N,N,N
320,N8,FALSE,FX11-7-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.433,0.358,0.524,22.047,22.066,0.129,,1.086,0.201,0.116,1.207,TRUE,0.429,TRUE,3,16,Amp,,0.942,N,N,N,N,N,N
321,N9,FALSE,FX11-7-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.433,0.358,0.524,22.204,22.066,0.129,,1.086,0.201,0.116,1.207,TRUE,0.429,TRUE,3,16,Amp,,0.940,N,N,N,N,N,N
322,N10,FALSE,FX11-7-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.224,0.166,0.303,29.679,29.482,0.280,,8.502,0.319,0.184,2.159,TRUE,0.399,TRUE,3,24,Amp,,0.954,N,N,N,N,N,N
323,N11,FALSE,FX11-7-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.224,0.166,0.303,29.162,29.482,0.280,,8.502,0.319,0.184,2.159,TRUE,0.399,TRUE,3,23,Amp,,0.968,N,N,N,N,N,N
324,N12,FALSE,FX11-7-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.224,0.166,0.303,29.605,29.482,0.280,,8.502,0.319,0.184,2.159,TRUE,0.399,TRUE,3,24,Amp,,0.962,N,N,N,N,N,N
337,O1,FALSE,FX11-7-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.335,TRUE,3,15,No Amp,,0.000,Y,N,N,N,N,N
338,O2,FALSE,FX11-7-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.335,TRUE,3,34,No Amp,,0.000,Y,N,N,N,N,N
339,O3,FALSE,FX11-7-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.335,TRUE,3,32,No Amp,,0.000,Y,N,N,N,N,N
340,O4,FALSE,FX11-7-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.398,TRUE,3,15,No Amp,,0.000,Y,N,N,N,N,N
341,O5,FALSE,FX11-7-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.398,TRUE,3,35,No Amp,,0.000,Y,N,N,N,N,N
342,O6,FALSE,FX11-7-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.398,TRUE,3,34,No Amp,,0.000,Y,N,N,N,N,N
343,O7,FALSE,FX11-7-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.409,0.885,2.244,29.207,28.682,0.456,,0.379,0.492,0.284,-0.495,TRUE,0.379,TRUE,3,23,Amp,,0.937,N,N,N,N,N,N
344,O8,FALSE,FX11-7-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.409,0.885,2.244,28.387,28.682,0.456,,0.379,0.492,0.284,-0.495,TRUE,0.379,TRUE,3,23,Amp,,0.942,N,N,N,N,N,N
345,O9,FALSE,FX11-7-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.409,0.885,2.244,28.452,28.682,0.456,,0.379,0.492,0.284,-0.495,TRUE,0.379,TRUE,3,23,Amp,,0.944,N,N,N,N,N,N
346,O10,FALSE,FX11-7-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.478,0.276,0.828,34.300,34.864,0.549,,6.561,0.579,0.335,1.064,TRUE,0.178,TRUE,3,29,Amp,,0.765,Y,N,N,Y,N,N
347,O11,FALSE,FX11-7-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.478,0.276,0.828,35.397,34.864,0.549,,6.561,0.579,0.335,1.064,TRUE,0.178,TRUE,3,29,No Amp,,0.619,Y,N,N,Y,N,N
348,O12,FALSE,FX11-7-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.478,0.276,0.828,34.895,34.864,0.549,,6.561,0.579,0.335,1.064,TRUE,0.178,TRUE,3,29,Amp,,0.661,Y,N,N,Y,N,N
349,O13,FALSE,FX11-7-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.367,0.210,0.641,37.911,37.374,0.559,,9.071,0.589,0.340,1.446,TRUE,0.436,TRUE,3,32,Inconclusive,,0.871,N,N,N,Y,N,N
350,O14,FALSE,FX11-7-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.367,0.210,0.641,36.794,37.374,0.559,,9.071,0.589,0.340,1.446,TRUE,0.436,TRUE,3,30,Amp,,0.879,N,N,N,Y,N,N
351,O15,FALSE,FX11-7-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.367,0.210,0.641,37.416,37.374,0.559,,9.071,0.589,0.340,1.446,TRUE,0.436,TRUE,3,32,Inconclusive,,0.864,N,N,N,Y,N,N
352,O16,FALSE,FX11-7-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,37.969,1.021,,,,,,TRUE,0.306,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N
353,O17,FALSE,FX11-7-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.351,0.102,1.211,38.691,37.969,1.021,,9.666,1.037,0.730,1.509,TRUE,0.306,TRUE,3,33,Inconclusive,,0.182,Y,N,N,Y,N,N
354,O18,FALSE,FX11-7-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.351,0.102,1.211,37.247,37.969,1.021,,9.666,1.037,0.730,1.509,TRUE,0.306,TRUE,3,32,Amp,,0.846,N,N,N,Y,N,N
355,O19,FALSE,FX11-7-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.230,26.489,0.248,,,,,,TRUE,0.156,TRUE,3,21,Amp,,0.958,N,N,N,N,N,N
356,O20,FALSE,FX11-7-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.514,26.489,0.248,,,,,,TRUE,0.156,TRUE,3,20,Amp,,0.951,N,N,N,N,N,N
357,O21,FALSE,FX11-7-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.724,26.489,0.248,,,,,,TRUE,0.156,TRUE,3,22,Amp,,0.878,N,N,N,N,N,N
358,O22,FALSE,FX11-7-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.075,30.117,0.080,,,,,,TRUE,0.115,TRUE,3,24,Amp,,0.938,N,N,N,N,N,N
359,O23,FALSE,FX11-7-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.209,30.117,0.080,,,,,,TRUE,0.115,TRUE,3,25,Amp,,0.936,N,N,N,N,N,N
360,O24,FALSE,FX11-7-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.066,30.117,0.080,,,,,,TRUE,0.115,TRUE,3,24,Amp,,0.965,N,N,N,N,N,N
361,P1,FALSE,FX11-7-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1.108,0.818,1.500,36.964,36.820,0.203,,8.517,0.274,0.179,-0.148,TRUE,0.391,TRUE,3,32,Amp,,0.843,N,N,N,N,N,N
362,P2,FALSE,FX11-7-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1.108,0.818,1.500,36.676,36.820,0.203,,8.517,0.274,0.179,-0.148,TRUE,0.391,TRUE,3,30,Inconclusive,,0.813,N,N,N,N,N,N
363,P3,FALSE,FX11-7-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,36.820,0.203,,,,,,TRUE,0.391,TRUE,3,12,No Amp,,0.000,Y,N,N,N,Y,N
364,P4,FALSE,FX11-7-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.717,1.433,2.058,30.003,30.004,0.053,,1.701,0.191,0.111,-0.780,TRUE,0.408,TRUE,3,24,Amp,,0.973,N,N,N,N,Y,N
365,P5,FALSE,FX11-7-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.717,1.433,2.058,29.952,30.004,0.053,,1.701,0.191,0.111,-0.780,TRUE,0.408,TRUE,3,25,Amp,,0.961,N,N,N,N,N,N
366,P6,FALSE,FX11-7-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.717,1.433,2.058,30.057,30.004,0.053,,1.701,0.191,0.111,-0.780,TRUE,0.408,TRUE,3,24,Amp,,0.951,N,N,N,N,N,N
367,P7,FALSE,FX11-7-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.251,0.184,0.341,30.081,30.176,0.268,,1.873,0.325,0.188,1.995,TRUE,0.429,TRUE,3,24,Amp,,0.920,N,N,N,N,N,N
368,P8,FALSE,FX11-7-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.251,0.184,0.341,29.969,30.176,0.268,,1.873,0.325,0.188,1.995,TRUE,0.429,TRUE,3,23,Amp,,0.921,N,N,N,N,N,N
369,P9,FALSE,FX11-7-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.251,0.184,0.341,30.479,30.176,0.268,,1.873,0.325,0.188,1.995,TRUE,0.429,TRUE,3,24,Amp,,0.924,N,N,N,N,N,N
370,P10,FALSE,FX11-7-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.654,0.236,1.808,34.293,35.259,1.059,,6.956,1.075,0.621,0.613,TRUE,0.399,TRUE,3,28,Amp,,0.912,N,N,N,Y,N,N
371,P11,FALSE,FX11-7-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.654,0.236,1.808,35.091,35.259,1.059,,6.956,1.075,0.621,0.613,TRUE,0.399,TRUE,3,28,Amp,,0.930,N,N,N,Y,N,N
372,P12,FALSE,FX11-7-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.654,0.236,1.808,36.391,35.259,1.059,,6.956,1.075,0.621,0.613,TRUE,0.399,TRUE,3,29,Amp,,0.882,N,N,N,Y,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Singleplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,"ACTB, GAPDH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,AiW002-2-D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
